tweet,class
Jaman Nime Miss nini watu wangu wa Twitter .. haya hivi Lusako ni nani tujuzane?! maana niliona mkasa wa mapenzi hu… ,NOT
amka asubuhi Piga mswaki nusu saa oga nusu saa Paka mafuta manukato yako safisha room yako fanya usafi fresh subiri… ,NOT
 Vipi umepata BWANA?,NOT
 we unafanyaga ivo au unafanyiwa?,NOT
 Million 500 inaanza kutumika kwenye uchumba,NOT
sio buree kalogwaa huyuu,ABUSIVE
Hahahahaaaa moyo mashine atafanya maana tunapendana so wewe sur,NOT
siku hizi mtu akini whatsapp au kunitumia sms hata kupiga tu simu naona ila sijibu for a reason-)) people wil love…,NOT
ukiniona apa saa hii yan naumwa balaa 😭 mafua makal ,NOT
"nimelelewa kinyanya kwel yan nikipata vumbi ata la shuka napata mafua makali .. nimeishi hivi kwa muda sasa n inaanza nikera, dawa ni nn?!",NOT
kuna wanaume nimepishana nao wananuka hivi mna matatizo gan na maji ?!,ABUSIVE
Unatuguezia kibao sisi tena!!!? ungewauliza haohao,NOT
Hahahah lool!!  🙆,NOT
 Ndio uanaume huo,NOT
 Kwetu Maji Ni Ya Kunywa Tuu Ya Kuoga Yanakata Vibe!!!Afu Kuoga Hiari,NOT
 Leo unajidai umepishana n,NOT
 Duh iyo kali; C ukamsafishe kama ananuka nyie wadada mkojeee,ABUSIVE
Hivi aliyekutoa bikra ni mwanamke mwenzako e,ABUSIVE
unapenda sana kuinamishwa iv unamatatizo gan nakifo chamende,ABUSIVE
 Diva kumbe na wew aunaga akili,ABUSIVE
 Pata OFA ya dikoda ya DStv ya HD + ufundi + Mwezi mmoja wa compact kwa Tsh 79,NOT
NB: Malipo ni baada ya kufungiwa. Karibuni,NOT
NB: Malipo ni baada ya kufungiwa. Karibuni,NOT
Sasa kwanini usimwambie? (Unakuja kusema uku..),NOT
 muulize bwana wako,NOT
Wewe msubiri atakayekuja kukuoa na mil 500...ndio umwambie huo ushuzi,NOT
Ungewauliza wenywe sasa unamuuliza nani??,NOT
 ao wanaonuka jasho ndo wanakufanya ww unabadili ad macho,ABUSIVE
 nyie wenyewe mnanuka sema manukato manayotumia yanawafichia aibu,ABUSIVE
 Sio wanaume tu,NOT
Hay tuambie ni Mbwega?? au Lwwmbano??,NOT
Atakuwa babaako,ABUSIVE
 Atakuwa babaako; hustle unanukiaje vipafyumu asee,NOT
 Labda walikuwa wamejampa 😂😂😂,NOT
 BABA YAKE JINSIA GANI,NOT
 Mbona na ww unanuka atusemi,ABUSIVE
 bumunda wewe,NOT
Mmh,NOT
Next Question ?; 🙄🙄🙄,NOT
ksuJcbDjhd,NOT
 🙄🙄🙄;,
 Atakae kuoa c wa east Africa maana tushakujua tabia zako,NOT
Wewe mbona tumepishana unanuka mkojo nkutangaze?,ABUSIVE
 Basi hao wanaonuka ndio level zako! Uwaga unatafauta nini adi unakutana na wanaonuka? Kina jackline mengi na Ray c wa Paris awawez kukutana na wa ivyo sasa we unaangaika uku kwa wanaonuka ndo maana unakutana nao. That's your type you bitch! ,NOT
Ila mkiumwa michango mnaomba kwa wanukaji fame za kisee,NOT
Utakuwa Na Ngoma wewe.. Unapanic Sana!!!,ABUSIVE
 Acha kutuvunjia eshima,NOT
 Itakua katoka kumkaza demu mwenzio maana sikuizi mnanuka naili jua,ABUSIVE
 Hiki kizee kina nyege sana Pole aisee,ABUSIVE
 Diva unajikutaga nani vile?? Usikute wewe pia unaongoza kutoka jasho dar nzima,NOT
 We unaejishaua hapo unaweza ukajiku,NOT
"Bye Boss Ruge ... Mwanza then Dar Es salaam, Mungu tu atuongoze .... 😛 ",NOT
Nawatakiwa Wakristo Wenzangu Wote Tanzania Na africa ya mashariki and all over the world wenye imani  Mfungo Mwema… ,NOT
Tuliambiwa tutakula kwa jasho ndomana tunanuka jasho ulitaka tunuke majitaka ya mtaloni au?,ABUSIVE
 Hv ww unaliwa na wanawake wenzio ama,ABUSIVE
 Ntakuja nikuendee kwa nije nikukunje hadi unye ww,ABUSIVE
" Ina maana wakina Bidozen, mchomvu...na wengine ndo wananuka.....?? Maana ndo ulipishana nao ofisini kwako...",ABUSIVE
 Tuko bze tunawatafutia ela za kufanya msinuke,NOT
 Nani ananuka.?! ,NOT
 Lakini pesa zao hazinuki ????,NOT
 Mfumo wako wa upumuaji mbovu ila haujui tu,ABUSIVE
 Waliokaa Jera Hao,ABUSIVE
" Afu  unazngua, kwaio wew hua unatembea ukichungusa wanaume, unataftia nn asee,",NOT
 Sisi tukisema mnanuka inakua offence,NOT
" Kuna manzi nlipanda nae costa, abanuka papa kinyama. Saingine ni hali ya hewa sio hawaogi.",ABUSIVE
 Usikute uliokutana nao hata tweeter hawajuiii so hukuuu hakuna jibu rudi tena kawaulizee uonee moto wakeee,NOT
 Ishu sio maji hata Wadada Wapo wanaonuka midomo vikwapa had k zao,ABUSIVE
 tunafuata maandiko maroli modo wetu yesu alipita juu ya maji musa akayatawanya hakuna aliyeoga apo,NOT
 Maji ya baridi????????,NOT
 Hao wanaume wapo wanakula kwa jasho lao au unataka wajimdoli kama wewe....mda mwingne mnajionaga sana mliopata....classes haina nafasi kwetu wajuba hao hawapo kwenye eisiiz kama nyie,NOT
 Hapa pana vitu viwili ,NOT
Tatizo lako unashindwa kutofautisha mtu mwanaume na mbuzi dume.wewe umepishana na mabeberu mawili yanaenda kuchinjwa,ABUSIVE
"Unapaka sana makeup so ikijichanganya na jasho la ngozi yako hiyo ngumu kama mamba unajua n watu uliopishana nao kumbe,unanuka mwenyewe",ABUSIVE
 Ila wewe mwanamke mungu atakupiga pigo takatifu kwa hizo nyodo za kipato chako,NOT
 Matatizo yetu ni kam yako tu ukitoa kope bandia kucha bandia na hlo wigi unabaki nyani jike,ABUSIVE
 Bora s tunanuka jasho afu mnanuka k*ma,ABUSIVE
 Baba yako ni mwanamke sio,ABUSIVE
 We kwani unatatizo gani na GK??,NOT
 You're the problem my dear..,NOT
 Halafu kesho unataka tukupe mimba dah!,ABUSIVE
 Kunukia ni kazi ya wanawake ndo wenye huo muda.. Mwanaume Wa kweli lazima unuke jasho .. Unanukia perfume afu unajiita mwanaume??? Something isn't right somewhere,ABUSIVE
 Hawa wanaume walikukoseaga nini jmn??,ABUSIVE
 Kwani unateseka mamilooo,NOT
 Mwanaume hanuki ananukia,NOT
 Many of them have never used a deodorant before,NOT
" Tatizo sio kunuka, tatizo kwa nini u-mnuse mtu? Ulikuwa unatafuta nin?",ABUSIVE
 Ungejaribu kulala nao uangalie Kama bado wananuka..,NOT
 Mwanaume rijali anatakiwa anuke Kama bebelu..,ABUSIVE
 Kawaoshe!,NOT
" Kikwapa ndio uwanaume halisi. Kama Beberu. Kuna wanawake hawalali usingizi Hadi asikie ""Kikwapa"" Cha njemba. Yaani ni nukato Dume.",ABUSIVE
 siumtaje tu ni ADAM MCHOMVU ??,NOT
 Wewe unamatatizo kwelii,NOT
 Mbna unapenda Sana kutuponda,NOT
 Diva ntakujibu jumamosi kesho ijumaa ntamkosea mungu wngu kenge ww????,NOT
 Mbona hata ww nimepishana na ww kageraa jana unanuka kwapa hatarii.??,ABUSIVE
 SIO KWAMBA ULIJIJAMBIA??????,ABUSIVE
 Ukiwa na matatizo ya pua unaweza ukawa unanuka wewe ukadhani ni harufu ya mwenzio,ABUSIVE
 Nadhani ni baba ako sababu ndio umepishana nae kwenu labda,ABUSIVE
 We mwenyewee huko uvunguni kunanuka balaa kwanza jipige middle finger unuxe utaona,ABUSIVE
 Umepitia mlango upi? Wa clouds au?,NOT
 Nimesikitishwa na kitendo cha uzalilishwaji wa kijinsia anao uendesha huyu ,NOT
 Mbona ww Jamaa kakuacha kwasababu K**a inanuka!. Nyani haoni kundule!!,ABUSIVE
 Ni body spray,NOT
" ??Ila 'Ngono' ina majina mengi, mara kwichi kwichi,kujamiiana,ku do,kunyanduana mara kutembea na mtu, Diva kaja na yake,anaita 'Kupishana'",NOT
 Na wewe unatatizo gani na kujisugua huko chini?????? Mwanaume siku zote yupo kazini we unataka anukieje sasa????????????,ABUSIVE
 itakua ni kule kagera ulivyoenda kwa ndugu zako nini dah! sasa matatizo ya ndugu zako unayaanika uku kweli!!?,NOT
 We n kumaa ehh!!! ?????????,ABUSIVE
 Saa ingine mtuhurumie siyo kutoa kashifa ukikuta mwanamke anatia urembo anakula vzr ujue mwanamme anapitia mateso na vikwazo vingi Sana,NOT
 Ndo wewe unataka M500 as bride price????????uh kumamake bora niputuke tu ila sikuchukui ata kwa laki,ABUSIVE
 Anapambana na maisha ndiomana ananuka,ABUSIVE
 Ingiza kidole kwenye quma yako afu ukinuse uone kama unanukia au unanuka kuliko hata hao wanaume ulopishana nao,ABUSIVE
 Kaoge kwanza,NOT
" Hapa kuna vitu Umesalitiwa na unaye mpenda, ",NOT
" Utakua umesahau kuosha papa lako hlo ndio linanuka,,, senge wew. ??????",ABUSIVE
 diva uwe bac unasema wanaume wa dar cio sis wa mikoan bhana kama unabisha ntakuagizia mimba online,ABUSIVE
 D�uuuuh kumbe huwa unashudu kiasi hiki?,NOT
 Ulitaka upishane na harufu kama yako?,ABUSIVE
 Dada kwanza umekiosha kinembe chako vizuri maana joto hili la dar unaweza kukuta unatembea na dampo????????,ABUSIVE
" Papa Lako Ndo Linanuka, Kalioshe Vzr",ABUSIVE
 Naile sura yako pana kama Geti la Ikulu Afu siumetoka msibani wwe panya mashavu,ABUSIVE
 Maji yalikua maybe machafu,NOT
 kwan kiharufu unacho achaga toilet huwaga unapanga au ni hatuwez kupingana na nature,ABUSIVE
 Mbona wewe sura nzito hatusemi hyo sura kama ya baba yako uende kuirudisha,NOT
 Alfu maswali yako niyakawaida sana ila wanaoyajibu wanapanic,NOT
 Kunuka kawaida dada mbona wewe unanuka damu za bleed Kila mwezi na zinanuka vibaya kweli mbona sisi hatusemi wewe unajikuta nani kwenye ulimwengu huu mtumwenyew mfupi kama kikimba cha asubuhi kima albino wewe alafu ushakua unaelekea kuwa bib,ABUSIVE
 Na wanaonuka ndio wenye malali ya M500,NOT
 Acha matusi,NOT
" ""Tulia wewee sisi ndiyo wataalamu""",NOT
 Ila ww nawe kwa kupenda attention ya kuforce..khaa??!,NOT
  bro why hujaniambia kama umepishana na diva leo ?,ABUSIVE
 Grow up .... !!??,NOT
 Ww unadhani hizo pesa unazohongwa zinatoka wapi?? Kama na ww unahongwa lkn maana mpaka mtu mwenye akili zake akuhonge ww atakuwa amekosa wa kuhonga,NOT
 Unajivunia nn wew,NOT
 Tuko kweny mfungo wa kwarzm!! Plz naomb utuache,NOT
 Mbona wewe hunuka Bra na sijawahi sema siri zako,ABUSIVE
 Kenge maji,ABUSIVE
 Hivi ww mdada ulizaliwa kwa muunganiko wa sperm na yai(ova) au umefanywa kwa kutengenezwa...mbna unadharau chanzo chako....fuck you,NOT
 Jiulize kwanini Beberu huwa ananuka,ABUSIVE
 Nikweli wapo diva mpaka juzi tumempeleka mchon kumwogesha ????????,ABUSIVE
 Amna maji yansabbxh tuwe na ngoz lain xx sisi httk,NOT
 Tatzo ni ww uliyejipulizia malashi ya maiti,ABUSIVE
